case,video,steps,source,num_applied_updates,num_gradient_calls,num_model_calls,vanilla_rollout_h1_error,vanilla_rollout_h1_p95,vanilla_rollout_h1_max,vanilla_rollout_h5_error,vanilla_rollout_h5_p95,vanilla_rollout_h5_max,vanilla_scorable_ball_transitions,vanilla_missing_ball_frames,vanilla_wrong_color_ball_frames,vanilla_extra_ball_frames,vanilla_metric_video,guided_rollout_h1_error,guided_rollout_h1_p95,guided_rollout_h1_max,guided_rollout_h5_error,guided_rollout_h5_p95,guided_rollout_h5_max,guided_scorable_ball_transitions,guided_missing_ball_frames,guided_wrong_color_ball_frames,guided_extra_ball_frames,guided_metric_video
2,00000/828.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-2/steps-20/diagnostics.json,0,0,20,0.17777955652607358,0.647945606685249,0.9871164566172591,0.7717980581992498,2.407382616514501,4.853772526939809,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-20/vanilla-diffusion.mp4,0.36787337441417645,1.0329332946822218,1.8969720315185996,1.2342981312107202,3.7252123265009356,4.963174804703553,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-20/guided-final.mp4
3,00000/037.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-3/steps-20/diagnostics.json,0,0,20,0.14613315892153636,0.43616843597165084,0.9302448484541996,0.6675578948989255,2.123023827683896,3.6553583838503347,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-20/vanilla-diffusion.mp4,0.35746967063992113,1.0117905648166738,2.4897967020548073,1.1937398290086312,3.3506529996501184,4.617525354740547,195,0,0,4,best-rollout1-matched-10samples-5steps-v1/case-3/steps-20/guided-final.mp4
4,00000/871.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-4/steps-20/diagnostics.json,0,0,20,0.24317251059824765,0.7501447806400546,3.3962460064490054,0.9426129806550713,3.1591091896383,5.122806839982755,210,0,0,1,best-rollout1-matched-10samples-5steps-v1/case-4/steps-20/vanilla-diffusion.mp4,0.4691700617498167,2.094061080000072,5.428187034911797,1.5235916279923851,5.434328892310476,7.227930063808848,210,0,0,1,best-rollout1-matched-10samples-5steps-v1/case-4/steps-20/guided-final.mp4
5,00000/066.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-5/steps-20/diagnostics.json,0,0,20,0.2550414764976449,0.810550345288557,3.0534393844779615,1.0850191309642836,3.084755985463155,5.980888636922455,199,4,1,4,best-rollout1-matched-10samples-5steps-v1/case-5/steps-20/vanilla-diffusion.mp4,0.9852705848075201,3.8827673100795908,6.786190377063306,2.3280656199035064,6.210223848428907,10.698905615208496,124,0,39,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-20/guided-final.mp4
6,00000/704.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-6/steps-20/diagnostics.json,0,0,20,0.22220459095600395,0.9155898309002365,1.577470036006857,1.0142496390817601,3.4080280487578998,4.981255278083377,170,0,0,9,best-rollout1-matched-10samples-5steps-v1/case-6/steps-20/vanilla-diffusion.mp4,0.553319104881896,2.1323446924066483,3.758426030139005,1.7534395884122278,5.030237118965116,7.694934730917259,175,0,0,8,best-rollout1-matched-10samples-5steps-v1/case-6/steps-20/guided-final.mp4
7,00000/967.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-7/steps-20/diagnostics.json,0,0,20,0.24016723594791822,0.6952631587730738,4.98183874038418,1.144232511035671,3.49085689529039,6.371673007568826,174,9,1,6,best-rollout1-matched-10samples-5steps-v1/case-7/steps-20/vanilla-diffusion.mp4,0.45227555171595796,1.3016505365731945,5.554158377097786,1.6549229515826203,5.066544768512895,9.03640887883658,138,3,31,0,best-rollout1-matched-10samples-5steps-v1/case-7/steps-20/guided-final.mp4
8,00001/016.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-8/steps-20/diagnostics.json,0,0,20,0.18832150969834488,0.6234445914302096,1.0325154848068057,0.8307067814993999,2.013674150627916,3.957187597905793,204,0,4,0,best-rollout1-matched-10samples-5steps-v1/case-8/steps-20/vanilla-diffusion.mp4,0.6086185229864096,1.5579675368292816,2.6889572491875033,2.034715841644013,5.299693086878013,7.124799690508051,59,33,16,15,best-rollout1-matched-10samples-5steps-v1/case-8/steps-20/guided-final.mp4
9,00000/927.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-9/steps-20/diagnostics.json,0,0,20,0.34618377818715745,1.2682108133077648,4.024300803577321,1.3541721065173393,4.491030530243966,6.823307088067153,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-20/vanilla-diffusion.mp4,0.55470881560786,2.1364987705374885,5.876452270511929,1.6655927487102022,5.783494288675127,7.965595682055016,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-20/guided-final.mp4
10,00000/221.mp4,20,best-rollout1-matched-10samples-5steps-v1/case-10/steps-20/diagnostics.json,0,0,20,0.20385592697268187,0.5116300376504433,5.505375557268242,0.8082103092319978,2.2761277183704567,5.505375557268242,194,4,1,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-20/vanilla-diffusion.mp4,0.44396834556038584,1.5366858258326972,2.2813655291078105,1.3408552689048643,3.2174860347633594,7.2919223745289985,194,1,4,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-20/guided-final.mp4
1,00000/164.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-1/steps-50/diagnostics.json,1875,1875,1925,0.19058312031933944,0.6140668769908323,1.7119236648321554,0.8720843318557433,2.6398543824791805,4.707324124257518,204,3,4,0,best-rollout1-matched-10samples-5steps-v1/case-1/steps-50/vanilla-diffusion.mp4,0.523787714713137,1.3542758305472926,4.527834348223147,1.8442836332848018,5.469463486437325,7.577289861233985,181,5,3,0,best-rollout1-matched-10samples-5steps-v1/case-1/steps-50/guided-final.mp4
