case,source,accepted_updates,vanilla_rollout_h1_error,vanilla_rollout_h1_p95,vanilla_rollout_h1_max,vanilla_rollout_h5_error,vanilla_rollout_h5_p95,vanilla_rollout_h5_max,vanilla_scorable_ball_transitions,vanilla_missing_ball_frames,vanilla_wrong_color_ball_frames,vanilla_extra_ball_frames,vanilla_metric_video,guided_rollout_h1_error,guided_rollout_h1_p95,guided_rollout_h1_max,guided_rollout_h5_error,guided_rollout_h5_p95,guided_rollout_h5_max,guided_scorable_ball_transitions,guided_missing_ball_frames,guided_wrong_color_ball_frames,guided_extra_ball_frames,guided_metric_video
1,00000/164.mp4,20,0.348152258145308,1.1409600847174397,1.6275444203868146,1.2994590009126972,3.909833703666226,6.01440425958677,204,3,4,0,rollout1-single-source-5cases/case-1/vanilla-diffusion.mp4,0.3936383965094765,1.1723640858126516,4.791131451383627,1.3558949354556722,3.9877096077006624,6.852137344848349,209,1,1,0,rollout1-single-source-5cases/case-1/guided-final.mp4
2,00000/828.mp4,37,0.4315891408963208,1.1886894920494715,2.6334957069727194,1.41108825345082,4.085127445044916,7.666154133298876,55,45,2,32,rollout1-single-source-5cases/case-2/vanilla-diffusion.mp4,0.42661624610804255,1.2291205277760346,2.7860712021377734,1.5293950158223564,4.3611508206910505,8.505582439768165,198,3,2,0,rollout1-single-source-5cases/case-2/guided-final.mp4
3,00000/037.mp4,22,0.36531239340351584,1.0010844407933552,2.979493446976441,1.2368238949031716,3.3511859435541504,6.449156611573195,220,0,0,0,rollout1-single-source-5cases/case-3/vanilla-diffusion.mp4,0.37132488764455107,1.176653524426489,2.9470981674146044,1.3089762460615522,3.7742978134935607,5.742313623913779,220,0,0,0,rollout1-single-source-5cases/case-3/guided-final.mp4
4,00000/871.mp4,20,0.47630039629279614,1.613384818888707,5.050567175499735,1.4565934196512722,4.350435889284215,7.087687433075667,209,2,1,0,rollout1-single-source-5cases/case-4/vanilla-diffusion.mp4,0.49276465783583023,1.4578813258189767,5.441541927595653,1.470299251190314,5.000065774398687,7.528268239790487,220,0,0,0,rollout1-single-source-5cases/case-4/guided-final.mp4
5,00000/066.mp4,18,0.5052730456668403,1.321459593465263,6.251645755678128,1.6777511646473051,4.998754555667025,7.518360910020333,144,16,0,12,rollout1-single-source-5cases/case-5/vanilla-diffusion.mp4,0.4815464681523127,1.3743403524595186,6.441893090267925,1.8372689205780288,5.149650846500921,7.419805044813194,144,16,0,11,rollout1-single-source-5cases/case-5/guided-final.mp4
