steps,samples,updates_min,updates_max,vanilla_rollout_h1_error,guided_rollout_h1_error,improved_cases_h1,vanilla_rollout_h5_error,guided_rollout_h5_error,improved_cases_h5,vanilla_scorable,guided_scorable
10,10,0,0,0.3288064498589818,0.5024837826316182,0,1.1801959892362122,1.6376883011796213,0,1613,1644
20,10,0,0,0.22667589807386573,0.5210565589436906,0,0.9579972339145216,1.6062925500071288,0,1995,1719
50,10,1875,1875,0.23171892296481006,0.6175190067280463,0,0.9367638665733466,1.8874820206601979,0,2010,914
100,10,5580,5625,0.2159234259387141,0.5979634521018666,0,0.8823108556111843,1.8098333326592022,0,2105,917
200,10,13125,13125,0.2387018229053341,0.5516423082764879,0,0.9034830464471225,1.7335487083298478,0,1929,990
