balls,frames,generated_frames,seed,score_rmse,score_rmse_per_component,score_mse,score_mse_per_coordinate,score_mse_noise_se,elapsed_s,checkpoint
1,25,20,0,19.82198178716428,2.216164936243105,392.9109619706725,4.911387024633406,2.047477770386234,10.462687253952026,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_1n_ball_d8_w256_s1_seed0/ema_0025000.pt
1,25,20,1,18.81976539685988,2.10411373739885,354.1835695928445,4.4272946199105565,2.784172840966139,10.394303560256958,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_1n_ball_d8_w256_s1_seed1/ema_0025000.pt
1,25,20,2,18.73429456759846,2.0945578081827594,350.97379294554923,4.387172411819366,2.363403357491263,10.410491704940796,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_1n_ball_d8_w256_s1_seed2/ema_0025000.pt
1,33,28,0,23.375947783880676,2.208819446306418,546.4349347947159,4.878883346381392,2.588703424431037,13.384968757629395,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_1n_ball_d8_w256_s1_seed0/ema_0025000.pt
1,33,28,1,23.112843616699774,2.1839584393326525,534.2035400500195,4.769674464732317,1.4423429247187471,13.496618509292603,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_1n_ball_d8_w256_s1_seed1/ema_0025000.pt
1,33,28,2,22.947487855382104,2.168333788536285,526.5871988729092,4.701671418508118,2.567082605039776,13.387565851211548,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_1n_ball_d8_w256_s1_seed2/ema_0025000.pt
1,41,36,0,26.519421808565827,2.2099518173804857,703.2797330606368,4.883887035143311,3.4620391777798543,16.617104530334473,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_1n_ball_d8_w256_s1_seed0/ema_0025000.pt
1,41,36,1,25.546194206781376,2.128849517231781,652.6080384505904,4.532000267017988,3.3424310378523496,16.660654306411743,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_1n_ball_d8_w256_s1_seed1/ema_0025000.pt
1,41,36,2,25.667336795338073,2.1389447329448394,658.8121781653158,4.5750845705924705,2.838481510587424,16.717345714569092,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_1n_ball_d8_w256_s1_seed2/ema_0025000.pt
1,49,44,0,28.394266160950323,2.1402983421217567,806.2343508188885,4.580876993289139,2.704590173978653,19.486025094985962,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_1n_ball_d8_w256_s1_seed0/ema_0025000.pt
1,49,44,1,27.465299367550966,2.0702748353852733,754.3426693491954,4.286037894029519,4.226164660297518,19.63970136642456,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_1n_ball_d8_w256_s1_seed1/ema_0025000.pt
1,49,44,2,27.8606965646041,2.1000790205167155,776.2184130649428,4.4103318924144475,3.6371744736630838,19.55575728416443,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_1n_ball_d8_w256_s1_seed2/ema_0025000.pt
2,25,20,0,52.24828134768059,4.1305893221990635,2729.882903786387,17.061768148664918,5.4662430392478845,20.00244951248169,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_2n_ball_d8_w256_s1_seed0/ema_0025000.pt
2,25,20,1,52.372944750366244,4.140444829532899,2742.9253418249154,17.14328338640572,2.688883572676124,19.917367696762085,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_2n_ball_d8_w256_s1_seed1/ema_0025000.pt
2,25,20,2,52.886305193320965,4.1810295360421454,2796.961277001088,17.481007981256802,4.142577659598482,19.95740056037903,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_2n_ball_d8_w256_s1_seed2/ema_0025000.pt
2,33,28,0,62.666728870620894,4.18709694613783,3927.1189073439105,17.53178083635674,11.92722885132668,26.67068099975586,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_2n_ball_d8_w256_s1_seed0/ema_0025000.pt
2,33,28,1,62.34464744460332,4.165576975659235,3886.8550649918834,17.352031540142338,10.389838087067385,26.70261263847351,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_2n_ball_d8_w256_s1_seed1/ema_0025000.pt
2,33,28,2,63.433107303447535,4.238302759070867,4023.759102170689,17.96321027754772,11.417313900580645,26.556002140045166,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_2n_ball_d8_w256_s1_seed2/ema_0025000.pt
2,41,36,0,70.84025634637358,4.17430213695951,5018.341919219922,17.42479833062473,13.164825514795568,32.116381883621216,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_2n_ball_d8_w256_s1_seed0/ema_0025000.pt
2,41,36,1,70.98305378949337,4.182716556990019,5038.593925282108,17.495117796118432,11.012595871313037,32.095351696014404,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_2n_ball_d8_w256_s1_seed1/ema_0025000.pt
2,41,36,2,72.23829893252397,4.2566825863807205,5218.371832664695,18.119346641196856,10.617607164914878,32.06843543052673,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_2n_ball_d8_w256_s1_seed2/ema_0025000.pt
