balls,frames,seed,steps,gt_error,rollout_h1,rollout_h5,rollout_paper_h1,rollout_paper_h5,invalid_frame_rate,invalid_frame_rate_strict,any_invalid,gt_success_fraction,local_success_fraction
1,33,0,1,0.07229776008585634,0.061776606197628973,0.10339316104640639,0.08459168787850865,0.2582510643015276,0.003941127232142857,0.01377650669642857,0.107421875,0.927734375,0.0
1,33,0,2,0.03847024811995005,0.0302611331299976,0.05411136585405482,0.040949574603446906,0.1297697655044871,0.0008370535714285714,0.008196149553571428,0.0234375,0.9990234375,0.0
1,33,0,4,0.02963883925832783,0.020306406470175564,0.03473980098638818,0.028001103335098945,0.09212754026650607,0.0,0.0048828125,0.0,1.0,0.0048828125
1,33,0,8,0.02758733809656709,0.01448243107038985,0.02531163517305324,0.019943306548881542,0.06890106088916292,3.487723214285714e-05,0.0031389508928571425,0.0009765625,0.9990234375,0.220703125
1,33,0,16,0.02790827159799434,0.010424464624778196,0.0189136823188105,0.014258932267973475,0.05169627808330423,6.975446428571428e-05,0.003487723214285714,0.001953125,0.9990234375,0.7314453125
1,33,0,32,0.029331609478341552,0.007562295531270174,0.01545634348944342,0.010133414407046046,0.03951373804185343,6.975446428571428e-05,0.0036272321428571425,0.001953125,0.9990234375,0.9091796875
1,33,0,64,0.03109253492073121,0.006125481745184257,0.014753610289336944,0.0077826572629775105,0.03272425583410159,6.975446428571428e-05,0.004045758928571428,0.001953125,0.9990234375,0.9208984375
1,33,0,128,0.03255113384608099,0.005617570605008882,0.015374275534851689,0.0067012144017797905,0.029884870873237202,0.00010463169642857142,0.004115513392857142,0.0029296875,0.998046875,0.921875
1,25,0,1,0.08046099657441308,0.07069538532847017,0.11242832415247403,0.09559982013797347,0.26796639490650037,0.005615234375,0.018994140625000003,0.107421875,0.845703125,0.0
1,25,0,2,0.038773385735725766,0.03333102620702347,0.05459296580135625,0.0445704957319992,0.13379588695629074,0.00034179687500000003,0.006103515625000001,0.0068359375,0.99609375,0.0
1,25,0,4,0.02750422357026398,0.020950630616011927,0.0327315774248548,0.029187188099465373,0.09261275670949583,0.0,0.00439453125,0.0,0.998046875,0.0234375
1,25,0,8,0.022552354145155246,0.014591837527847824,0.023403916122965954,0.020531318614636137,0.06971533452260706,9.765625e-05,0.003271484375,0.001953125,0.9990234375,0.341796875
1,25,0,16,0.02177710181923387,0.0104662469649595,0.018019746616402717,0.014553888423084253,0.053878549152205496,4.8828125e-05,0.003125,0.0009765625,0.998046875,0.765625
1,25,0,32,0.02294500707388422,0.007822385746619167,0.015265232639618667,0.010550837408625629,0.04333089699184335,4.8828125e-05,0.0037109375000000003,0.0009765625,0.9970703125,0.869140625
1,25,0,64,0.02471214332440848,0.006473612551986095,0.01488214150714181,0.008285183381276007,0.03748688379213812,4.8828125e-05,0.00419921875,0.0009765625,0.9970703125,0.89453125
1,25,0,128,0.02631031412211,0.0059543364259343826,0.015684531267380755,0.007178940974446194,0.03505908253513692,9.765625e-05,0.004736328125,0.001953125,0.99609375,0.896484375
1,49,0,1,0.07560580733403874,0.06056933882210532,0.108637975299062,0.08262676021256976,0.26700705332183117,0.002263849431818182,0.011052911931818182,0.0947265625,0.916015625,0.0
1,49,0,2,0.04396997636238554,0.03155049005527312,0.060294722940943825,0.04256794063947653,0.14240153595530447,0.001220703125,0.007368607954545455,0.0537109375,0.9921875,0.0
1,49,0,4,0.03835331329582796,0.021202497084519642,0.03884626888868578,0.029600689252066863,0.10106358817903942,0.0003995028409090909,0.003728693181818182,0.017578125,0.998046875,0.0
1,49,0,8,0.04094142597571935,0.014713063142377181,0.027649969398935395,0.020378919132220726,0.07203015238361199,6.658380681818181e-05,0.002863103693181818,0.0029296875,0.99609375,0.046875
1,49,0,16,0.04343782592124041,0.009867213811580372,0.01915089025644115,0.013480718221425124,0.04949714183639388,8.87784090909091e-05,0.0038174715909090906,0.00390625,0.98828125,0.73046875
1,49,0,32,0.04530634585922143,0.0068324959650777495,0.014434510419214366,0.009165278382453398,0.03521240816525484,8.87784090909091e-05,0.004350142045454546,0.00390625,0.982421875,0.919921875
1,49,0,64,0.04708477206611256,0.005508454486667206,0.01355364378635953,0.007088450797047582,0.02815842925994425,0.00011097301136363636,0.004683061079545454,0.0048828125,0.9794921875,0.9296875
1,49,0,128,0.04834349295241998,0.005090371972620598,0.014275824564253569,0.006204238991817301,0.02553259561656907,0.00013316761363636363,0.004749644886363637,0.005859375,0.9765625,0.93359375
1,41,0,1,0.07923269493993655,0.0648934624716587,0.1104123885313887,0.08811849745371833,0.27561955744320615,0.002739800347222222,0.012858072916666668,0.091796875,0.8720703125,0.0
1,41,0,2,0.04378882276778462,0.03204145937846493,0.059469576118487535,0.043201664413390954,0.1411243471879119,0.001193576388888889,0.007649739583333334,0.0419921875,0.9990234375,0.0
1,41,0,4,0.036121620382222386,0.021500259872063825,0.03877642957015996,0.02983230783361967,0.10049810080766082,0.00035264756944444444,0.004530164930555556,0.0126953125,0.9990234375,0.0009765625
1,41,0,8,0.03555645080174751,0.01508480565531186,0.027700867817826394,0.020864189659727278,0.072722760776584,5.425347222222222e-05,0.0031467013888888886,0.001953125,0.9990234375,0.0673828125
1,41,0,16,0.03683472083648062,0.010222114614619221,0.019438946030798706,0.013910612564596997,0.05076776935098575,5.425347222222222e-05,0.003011067708333333,0.001953125,0.99609375,0.6962890625
1,41,0,32,0.038688921047893135,0.007113065953712441,0.01523258116784246,0.00944800606679222,0.03648355665081078,0.00010850694444444444,0.003282335069444444,0.00390625,0.9921875,0.9091796875
1,41,0,64,0.04044115695346618,0.005752621834924537,0.0146827271453311,0.007228689919710728,0.029636486995063244,0.00010850694444444444,0.0035264756944444445,0.00390625,0.9921875,0.9287109375
1,41,0,128,0.041872647853162005,0.005424049084307357,0.015492943108581788,0.006451584670568868,0.027535000778228468,0.00013563368055555556,0.003851996527777777,0.0048828125,0.9921875,0.9345703125
1,33,1,1,0.07720743076308108,0.06691028204667171,0.10572585989158063,0.09211764044337384,0.27491711850383405,0.0030691964285714285,0.011683872767857142,0.083984375,0.892578125,0.0
1,33,1,2,0.039771551311261116,0.031791121023516264,0.0543471174389695,0.04224486670338876,0.13225439077139312,0.0009765625,0.008021763392857144,0.02734375,1.0,0.0
1,33,1,4,0.029876126081942955,0.02057462607469358,0.034710668102997125,0.028185877384137373,0.09116633066601067,0.00031389508928571425,0.005126953125,0.0087890625,1.0,0.005859375
1,33,1,8,0.027610457126202227,0.014300525541116287,0.024635260414188502,0.019596696138604507,0.06665572833543972,0.00013950892857142856,0.003731863839285714,0.00390625,1.0,0.255859375
1,33,1,16,0.027481889114226464,0.009967754950525924,0.018187259225341788,0.013501770670018075,0.04905291446217228,0.0,0.003522600446428571,0.0,1.0,0.7861328125
1,33,1,32,0.0291183549687712,0.007354726103244646,0.015146946488421964,0.009811623987282154,0.03831925814627247,3.487723214285714e-05,0.003941127232142856,0.0009765625,0.9990234375,0.9091796875
1,33,1,64,0.030979001265712954,0.005955095422776554,0.014372517565754441,0.00760538592179549,0.03198955253648781,3.487723214285714e-05,0.004220145089285714,0.0009765625,0.998046875,0.923828125
1,33,1,128,0.03245787878144463,0.005506972554308908,0.014958770909523769,0.006614179537344195,0.029490486667746958,6.975446428571428e-05,0.00439453125,0.001953125,0.9970703125,0.9267578125
1,25,1,1,0.07607947556087902,0.06798124720256256,0.10414365332834288,0.09155441589012042,0.2583307336634837,0.002880859375,0.013427734375,0.0576171875,0.8955078125,0.0
1,25,1,2,0.03816425467579518,0.031555050971671786,0.05331281331767529,0.041986191554999754,0.1267899003992664,0.00043945312500000007,0.00625,0.0087890625,0.998046875,0.0
