method,case,source,control_video,control_sha256,guided_video,guided_sha256,vanilla_rollout_h1,guided_rollout_h1,vanilla_rollout_h5,guided_rollout_h5
"R5 · delta, full window, strict detection",4,00000/871.mp4,late-extra-invalid-full-window-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-extra-invalid-full-window-5cases/case-4/guided-final.mp4,4aecc105eb91ca26f0c4c6511be3d5eaea4554f897a3899c2bcc6aa01d995f51,0.47630039629279614,0.6333176941584949,1.4565934196512722,1.5464509546450058
"R5 · delta, full window, strict detection",5,00000/066.mp4,late-extra-invalid-full-window-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-extra-invalid-full-window-5cases/case-5/guided-final.mp4,bde785504b7b6966ee1966402cb39a09241d711bd54db2ef28f06a36f5c0492f,0.5052730456668403,0.580324141114895,1.6777511646473051,1.619512809072103
"R5 · delta, endpoint, strict detection",1,00000/164.mp4,late-extra-invalid-endpoint-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-extra-invalid-endpoint-5cases/case-1/guided-final.mp4,53ccc145138984b529a9868d2583fafdbb5472a70885dfdc4aec4d88c9ccc4cf,0.348152258145308,0.36545901848764023,1.2994590009126972,1.296522055206675
"R5 · delta, endpoint, strict detection",2,00000/828.mp4,late-extra-invalid-endpoint-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-extra-invalid-endpoint-5cases/case-2/guided-final.mp4,c3a5035aa291f9db787c6d620b7b5617a71ca9cccc17f6c595aeba5b2cf34921,0.4315891408963208,0.425765983239587,1.41108825345082,1.4608308247601547
"R5 · delta, endpoint, strict detection",3,00000/037.mp4,late-extra-invalid-endpoint-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,late-extra-invalid-endpoint-5cases/case-3/guided-final.mp4,5d149fa13d0a96fe25fd33fcc5532efb7cebeb4c02f6c667e303cbff0d46f88d,0.36531239340351584,0.41270309482072337,1.2368238949031716,1.379161307303676
"R5 · delta, endpoint, strict detection",4,00000/871.mp4,late-extra-invalid-endpoint-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-extra-invalid-endpoint-5cases/case-4/guided-final.mp4,0afc69d06db58ffde9198c41fc83f4d9d88e85a74f9ef4749d5b10287978618d,0.47630039629279614,0.6895595030941148,1.4565934196512722,1.6897544040798134
"R5 · delta, endpoint, strict detection",5,00000/066.mp4,late-extra-invalid-endpoint-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-extra-invalid-endpoint-5cases/case-5/guided-final.mp4,55afb62a2e9c5aa8e6e30dd17f65dc494bd415254cfae52e288e6c7fe701e1e6,0.5052730456668403,0.4656796814528832,1.6777511646473051,1.5461539929737063
"R5 · direct target, full window",1,00000/164.mp4,late-absolute-full-window-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-absolute-full-window-5cases/case-1/guided-final.mp4,8930a58403cfd8e2cb214b6aa8d82424270c2abaf4700cb402a7a739975454cb,0.348152258145308,0.3678949508860007,1.2994590009126972,1.3101758373723946
"R5 · direct target, full window",2,00000/828.mp4,late-absolute-full-window-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-absolute-full-window-5cases/case-2/guided-final.mp4,aa777dd4c6857c50dd286040741066781c34828a57744aa5d002c2e86b2650a0,0.4315891408963208,0.40605009854337454,1.41108825345082,1.4190113065042071
"R5 · direct target, full window",3,00000/037.mp4,late-absolute-full-window-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,late-absolute-full-window-5cases/case-3/guided-final.mp4,e3ac4ad92c3bdfddb914418f6a506ae71edb0202f40ef7305377869080e59526,0.36531239340351584,0.3961077351783115,1.2368238949031716,1.400165196956045
"R5 · direct target, full window",4,00000/871.mp4,late-absolute-full-window-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-absolute-full-window-5cases/case-4/guided-final.mp4,e0cbfd8054b91055e4e62b7f957a40562d9ad23cf3c51bcfd121c1064d959f8f,0.47630039629279614,0.6016596587241264,1.4565934196512722,1.7045003266980194
"R5 · direct target, full window",5,00000/066.mp4,late-absolute-full-window-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-absolute-full-window-5cases/case-5/guided-final.mp4,bfe91422e5ebb16ceb6132d05ab21b7127d58bff508c910e4751cfdfe857afc9,0.5052730456668403,0.48933196284468317,1.6777511646473051,1.4555060196197933
"R5 · direct target, endpoint",1,00000/164.mp4,late-absolute-endpoint-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-absolute-endpoint-5cases/case-1/guided-final.mp4,b4e3a8ad4d81ddbbc2bbfbc9f3cae3a4b892bd54476fb3fcff2a553810b4761a,0.348152258145308,0.4036284249583925,1.2994590009126972,1.2727356401726964
"R5 · direct target, endpoint",2,00000/828.mp4,late-absolute-endpoint-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-absolute-endpoint-5cases/case-2/guided-final.mp4,7529223f0cc717e258ba2bb31a15e31e35bbb7198476cc0ea07d29038259a0c8,0.4315891408963208,0.42698291275341516,1.41108825345082,1.4129524494376287
"R5 · direct target, endpoint",3,00000/037.mp4,late-absolute-endpoint-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,late-absolute-endpoint-5cases/case-3/guided-final.mp4,361d008fbc046b866429ff828e523d5d3039767070338a25ac5de43939113df2,0.36531239340351584,0.4131597480083483,1.2368238949031716,1.418939976755256
"R5 · direct target, endpoint",4,00000/871.mp4,late-absolute-endpoint-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-absolute-endpoint-5cases/case-4/guided-final.mp4,4bd2017ede909f6a4c07fe68259cc6604467e768fc98960a1f67a9ff1c7a3154,0.47630039629279614,0.6736142346836511,1.4565934196512722,1.7879582149514988
"R5 · direct target, endpoint",5,00000/066.mp4,late-absolute-endpoint-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-absolute-endpoint-5cases/case-5/guided-final.mp4,a5dc55f63f3765923d91be7ea615d76cbabd5c4f4c42cf2f5948df2ea4ecc8e1,0.5052730456668403,0.45042090645009586,1.6777511646473051,1.6106431561946393
