method,vanilla_rollout_h1,vanilla_rollout_h5,guided_rollout_h1,guided_rollout_h5
"R1 · direct target, one frame",0.4253254468809562,1.4163431467130532,0.4331781312500426,1.5003668738215847
"R5 · delta, full window",0.4253254468809562,1.4163431467130532,0.4773914103293499,1.4849940602056497
"R5 · delta, endpoint",0.4253254468809562,1.4163431467130532,0.4808067143003586,1.5191545649107465
"R5 · delta, full window, strict detection",0.4253254468809562,1.4163431467130532,0.49222183822246324,1.4540369621487044
"R5 · delta, endpoint, strict detection",0.4253254468809562,1.4163431467130532,0.4718334562189897,1.474484516864805
"R5 · direct target, full window",0.4253254468809562,1.4163431467130532,0.4522088812352993,1.4578717374300918
"R5 · direct target, endpoint",0.4253254468809562,1.4163431467130532,0.4735612453707806,1.5006458875023438
