frames,seed,method,energy_drift,speed_change_free,law_resid_bb,law_resid_wall,phantom_rate,overlap_rate,wall_exit_rate,posvel_free,n_collisions,t_diverge,t_diverge_median,energy_final,w1_collisions,w1_speed
49,0,truth,1.936255734846775e-08,0.0,3.839440832398504e-07,0.0,0.0,0.0,0.0,2.3971830677944e-07,15.146205357142858,49.0,49.0,1.0000000006443388,0.0,0.0
49,0,none,0.05534705820519157,0.031041953769048614,0.7110822255868515,0.21654905194434454,0.06871750293269153,0.14257812499999997,0.03203632305194805,0.019406479007968047,25.256696428571427,13.408482142857142,13.0,0.9497164107433197,10.094911294352825,0.23411344046094668
49,1,none,0.0582815274925245,0.030207834416044157,0.7067221519793306,0.2130800273487228,0.06867759294363684,0.1491730925324675,0.03340604707792207,0.02040566814346744,25.565848214285715,13.477678571428571,13.0,0.9452813001536704,10.409580209895053,0.23284514501180006
49,2,none,0.05615438010684388,0.02772750566527728,0.6987853790417697,0.20935685011737035,0.06255483488683507,0.1274350649350649,0.03201095779220779,0.0179830731265228,24.138392857142858,13.441964285714286,13.0,0.9512972304023876,8.98511744127936,0.2258391391587876
49,0,rollout1_s1,0.12322564535098299,0.04560193976469571,0.4315131161446925,0.23423952882097268,0.10892260687174835,0.07518262987012987,0.01481331168831169,0.030251107977035323,18.895089285714285,13.915178571428571,14.0,0.6522146887990967,3.771290604697652,1.3203700277076875
49,1,rollout1_s1,0.12488184328529388,0.04303844195995938,0.41910354481795503,0.22518216437613833,0.10732008437018818,0.09141639610389608,0.014990868506493506,0.030513496596285963,19.944196428571427,13.852678571428571,14.0,0.6559311121743827,4.833735632183908,1.3208637445289
49,2,rollout1_s1,0.12779894082377433,0.04222900663104747,0.43380141612404005,0.2416872639497781,0.10017860078471916,0.06972909902597402,0.01542207792207792,0.028857544316960883,17.963169642857142,13.902901785714286,14.0,0.6346741886394619,2.8817178910544743,1.3951193227708107
49,0,rollout5_s1,0.16859522747444403,0.0550223243861852,0.5639522100945208,0.25183655921264086,0.14139976842202978,0.06833400974025973,0.03444602272727272,0.03675615039874242,14.683035714285714,15.050223214285714,15.0,0.47593882100914087,1.644491504247877,1.6800590439050653
49,1,rollout5_s1,0.17206788354509012,0.05223083882443296,0.549443532648756,0.24178943902212297,0.1390266414624136,0.07548701298701298,0.029068587662337664,0.03673751874416734,15.886160714285714,14.972098214285714,15.0,0.4694376350898463,1.2419790104947535,1.7175238539243876
49,2,rollout5_s1,0.17667972933805506,0.05342376278251002,0.6154821060515356,0.240086521729465,0.12885482021330463,0.06901887175324674,0.03023538961038961,0.03488563242242519,15.541294642857142,15.051339285714286,15.0,0.45788067940744004,1.5398700649675172,1.7478497131764397
49,0,oracle_s1,0.020371739077619855,0.010975239554145144,0.13091894316486055,0.056193000322479515,0.017212069661121245,0.004286728896103896,0.0036525974025974025,0.01136708219345676,15.041294642857142,48.796875,49.0,0.9775249512590127,0.23670414792603714,0.06084581086674005
49,1,oracle_s1,0.019188243717893832,0.010625613722673935,0.1264574197695685,0.04926677877435549,0.016947576738398692,0.003475040584415584,0.003475040584415584,0.011450831751761311,15.1171875,48.85267857142857,49.0,0.9767690230201512,0.11533483258370811,0.05881000775013901
49,2,oracle_s1,0.0192366354136658,0.009945686092737096,0.13245006377760019,0.05026646794244115,0.016825621484813473,0.004641842532467533,0.003475040584415584,0.010795379116464844,15.006696428571429,48.66294642857143,49.0,0.9769864803021836,0.2035119940029986,0.06000554628517549
