frames,seed,method,frechet_pos,sw2_pos,frechet_pos_pca8,frechet_pos_pca16,frechet_pos_pca32,frechet_pos_pca64,frechet_pos_pca128,frechet_vel,sw2_vel,frechet_vel_pca8,frechet_vel_pca16,frechet_vel_pca32,frechet_vel_pca64,frechet_vel_pca128,frechet_both,sw2_both,frechet_both_pca8,frechet_both_pca16,frechet_both_pca32,frechet_both_pca64,frechet_both_pca128,c2st_cnn,c2st_gbm,c2st_linear
25,0,truth,1.3894460089615466,0.06233847875622965,0.7258869469781789,1.0198969179721422,1.2995420312255002,1.3723904331379537,1.3868301764912057,2.5582740041560896,0.059577597815376825,0.4451733952752419,0.7083810167072022,1.2061856517968623,1.71855430254756,2.2049914801660964,3.2547110072285097,0.0623630742364859,0.7749302191931283,1.2219430559614373,1.8152812772940874,2.4236043879472056,2.8813471511081903,0.5094847619533539,0.5201272933816778,0.5011188745895644
25,1,truth,1.3894460089615466,0.06164339993179502,0.7258869469781789,1.0198969179721422,1.2995420312255002,1.3723904331379537,1.3868301764912057,2.5582740041560896,0.06167473317947086,0.4451733952752419,0.7083810167072022,1.2061856517968623,1.71855430254756,2.2049914801660964,3.2547110072285097,0.06200490379660576,0.7749302191931283,1.2219430559614373,1.8152812772940874,2.4236043879472056,2.8813471511081903,0.5173091113567352,0.5172950934470363,0.5267596209209318
25,2,truth,1.3894460089615466,0.06037246186950752,0.7258869469781789,1.0198969179721422,1.2995420312255002,1.3723904331379537,1.3868301764912057,2.5582740041560896,0.06045044780467349,0.4451733952752419,0.7083810167072022,1.2061856517968623,1.71855430254756,2.2049914801660964,3.2547110072285097,0.06195711316049497,0.7749302191931283,1.2219430559614373,1.8152812772940874,2.4236043879472056,2.8813471511081903,0.5262258648872375,0.538511694495884,0.5306531177541588
25,0,none,1.405001976678812,0.06548789264535619,0.7876867157863094,1.0573346503907908,1.3119113175002504,1.388590370308236,1.4021431979575272,2.5918637198973067,0.06519439910243917,0.432176552446308,0.7355329265246984,1.227120744628239,1.7916103087915634,2.2504940041291284,3.2883298117437767,0.06614553382022857,0.8106016219339796,1.2084272083029912,1.8274723801803934,2.480965827257695,2.916855073957295,0.5072842895984649,0.540189323401614,0.48940720049658604
25,1,none,1.4379431738114483,0.06540097783032695,0.7824895578408212,1.083029711621494,1.345778082727154,1.4215455140861897,1.4352179857596556,2.63200134973014,0.06617151700695437,0.4182859067709978,0.7844891344693611,1.259403176685364,1.8125746386636405,2.2965306034271857,3.330437936346061,0.06594281334686372,0.8012558527046305,1.2188493794025257,1.8793826529374889,2.5098969783789493,2.965477157368981,0.4843637466430664,0.565841092489137,0.4787926753569212
25,2,none,1.4278201459112285,0.06330117094229329,0.7783510828404914,1.0714848864753892,1.3356177824999553,1.4116974168688206,1.4250259032621921,2.585187861937904,0.06206652243252773,0.3664776294368393,0.6486778083857654,1.1888689827548435,1.76123997158494,2.2472543768726507,3.2884252329744195,0.06371687305660172,0.7960855866356423,1.1938464892915068,1.8349103510428144,2.4716122724773597,2.921747996472969,0.5067070126533508,0.5329329608938548,0.4966294227188081
25,0,rollout1_s1,1.6300717449106759,0.06318418552534909,0.7464241518957057,1.1670200538337858,1.4765268885358258,1.6106003352214193,1.62780717911387,3.441573778668254,0.0998097154925751,0.509737481062493,0.8152617935701713,1.694896768702304,2.6328263592427996,3.1428841334755813,4.111912774741205,0.07472356065261289,0.7903782926977582,1.2682435169842057,2.0599705404783983,3.243663283769854,3.776798745164131,0.6819304585456848,0.7539137181874611,0.5021849782743637
25,1,rollout1_s1,1.6706798911760956,0.0648571838436945,0.7885552516004062,1.195917550955769,1.50697940362499,1.6512677645938436,1.6684792984813412,3.5146855465039524,0.10746055587301297,0.587145844944077,0.9593501849229391,1.7979012827418255,2.7107066652415246,3.2256091355599343,4.18991648183107,0.07804587576130052,0.8243802229965297,1.2784119222999857,2.0951147249336723,3.3262023881353455,3.864845423576652,0.6997765302658081,0.7963159528243328,0.4905152079453755
25,2,rollout1_s1,1.6462196170240835,0.06207868698496299,0.79117538734155,1.2186792756742904,1.4872244372586978,1.6269840524717027,1.6439759041125204,3.450213532327898,0.10308822870096247,0.5084252570141676,0.8461118694156162,1.7105250025100656,2.641848771019648,3.1505599946410334,4.122185609393495,0.0738641120343898,0.8344328345212392,1.2958158527294281,2.0510557212897287,3.260539284147965,3.786902141088926,0.7003352046012878,0.7728553693358162,0.49999068901303534
25,0,rollout5_s1,1.441017128427798,0.061343690868040084,0.6957395258102309,1.0390941531417812,1.3170968673625603,1.422263481408961,1.4383398497441136,3.086925585294274,0.100618610560835,0.4323961347677125,0.7783597152641692,1.4303637763186543,2.241759021695603,2.7736571270722283,3.7001380339354446,0.07534802393739061,0.713459108730035,1.2031982411222362,1.8945118613384317,2.790204432425815,3.33853709566216,0.6355896949768066,0.7656238361266293,0.5078088144009932
25,1,rollout5_s1,1.4762115125955564,0.06308354630973993,0.7718691024615302,1.0704776911488048,1.3484100743086633,1.4583783516971027,1.4735965331374117,3.1533821124554344,0.11150271216021104,0.5325639127628583,0.8517454575733943,1.4855894810573094,2.2958562946142282,2.839566224300213,3.761807620030104,0.07866245453501518,0.7907788503042442,1.2072625674072686,1.8921509535868972,2.8325352823843573,3.395825207144874,0.6846989274024964,0.792392923649907,0.5011421477343265
25,2,rollout5_s1,1.4534851582717652,0.05802198122666666,0.6967063222678542,1.0430987884431946,1.330762858032429,1.435719188578734,1.4507715984311458,3.0924601988056675,0.10603312751087884,0.5044546744758317,0.8203933418767517,1.4505996555647862,2.2309427698849165,2.771082211411588,3.7116884462596302,0.07505737165229574,0.7230461728469678,1.1787604176406004,1.910801008172939,2.7962023636066933,3.341560610973504,0.6696585893630982,0.7768187461204221,0.5273277467411546
25,0,oracle_s1,1.39101544657212,0.062459149197257334,0.7260319418105463,1.0214002980255965,1.3008972799828544,1.373940624027378,1.388283166135976,2.557858859690004,0.059631777259711784,0.44216080154667137,0.7027304868599377,1.205233913420749,1.7242296076619055,2.209219396342742,3.2533652092503287,0.062389396266918785,0.7734541097722841,1.2221445740599823,1.816417635160353,2.428206063851544,2.885106057416869,0.49999999403953554,0.4933022967101179,0.5044630664183737
25,1,oracle_s1,1.3900065410893947,0.0617266790095751,0.7257101337774554,1.018740372665127,1.2997123481709616,1.3729627387918764,1.3873523296433148,2.555836621525375,0.06170806046902228,0.4423046013731003,0.7006354814719511,1.2032468830442737,1.7196513681557164,2.2060948983360205,3.2507629213395255,0.061881908696438705,0.773126903540149,1.2178715190650435,1.8129303209836058,2.4228221838944513,2.8804497988890363,0.5016635715961456,0.5022315332091869,0.5027870887647424
25,2,oracle_s1,1.390149116336728,0.06028252049028268,0.724604492018104,1.0180900698081299,1.2999188844341374,1.3729582593365564,1.3875013030206846,2.5598888774388366,0.06045062859024437,0.445777047867886,0.7033309856615199,1.203938506600701,1.720076552389197,2.209828106873994,3.2555289470029063,0.06198494147613609,0.7724904816047261,1.2194472100638125,1.8143806967454041,2.4250344786430142,2.8847829968053325,0.502793288230896,0.4938423339540658,0.5022346368715084
25,0,block4,1.3476959862155051,0.06268011128539833,0.732167074612898,1.000262133593343,1.255506129211715,1.3306767804233488,1.3450153662112447,2.5522654735379553,0.059894440637608085,0.4176937458746121,0.6868768123801312,1.180821893350751,1.7199104971576522,2.193867145546218,3.222662825258761,0.06310428194709321,0.7437717207304391,1.1289930063216957,1.741791177011173,2.3880396371669423,2.846924518067464,0.48824332356452943,0.5122687771570453,0.4961080074487896
