frames,seed,steps,guide,strength,tag,channels,guide_start,x0_only,velocity_source,sample_time_s,run,calibration.rollout_paper_h1,calibration.rollout_paper_h5,calibration.gt_error,calibration.rollout_h1,calibration.rollout_h5,calibration.invalid_frame_rate,holdout.rollout_paper_h1,holdout.rollout_paper_h5,holdout.gt_error,holdout.rollout_h1,holdout.rollout_h5,holdout.invalid_frame_rate,all.rollout_paper_h1,all.rollout_paper_h5,all.gt_error,all.rollout_h1,all.rollout_h5,all.invalid_frame_rate
25,0,100,none,0.0,,all,0.0,False,generated,7.497311115264893,out/runs/25f_seed0_steps100/none,0.13081361070977615,0.6534201478327193,1.230139879394982,0.05778755738487664,0.42127571152057286,0.13671875,0.14573548756754076,0.705725369809245,1.337053030795708,0.06473762802915764,0.46572210236668216,0.15256696428571428,0.1438702529603202,0.6991872170621793,1.3236888868706171,0.06386886919862253,0.4601663035109184,0.1505859375
25,0,100,oracle,0.03,,all,0.0,False,generated,17.43803596496582,out/runs/25f_seed0_steps100/oracle_s0.03,0.12634272845232342,0.6335359076793354,1.1665467413840167,0.0565821212712322,0.4082722889758221,0.1375,0.14284640364521076,0.6868080552315805,1.2676403818736177,0.06332964176108966,0.4554295396771519,0.14659598214285716,0.14078344424609981,0.6801490367875498,1.2550036768124175,0.06248620169985747,0.4495348833394857,0.145458984375
25,0,100,oracle,0.1,,all,0.0,False,generated,17.46490454673767,out/runs/25f_seed0_steps100/oracle_s0.1,0.12338129486249237,0.5941468079241417,0.9945434633160259,0.05565090303811908,0.3907578168263049,0.12578125,0.1341421596159124,0.6442446865693908,1.1048546052850703,0.05949759251949605,0.4243970673733793,0.1375,0.13279705152173488,0.6379824517387347,1.0910657125389398,0.05901675633432393,0.420192161054995,0.13603515625
25,0,100,oracle,0.3,,all,0.0,False,generated,17.45766544342041,out/runs/25f_seed0_steps100/oracle_s0.3,0.0900456385686002,0.4355392191900503,0.5355121186656832,0.04117989711761831,0.2738848232970858,0.07695312500000001,0.11201833802032089,0.5261410649866645,0.6411350173394277,0.0513259809304786,0.3433762418987461,0.11088169642857142,0.10927175058885578,0.5148158342620877,0.6279321550052096,0.050057720453871066,0.3346898145735385,0.106640625
25,0,100,oracle,1.0,,all,0.0,False,generated,17.428067684173584,out/runs/25f_seed0_steps100/oracle_s1,0.014745487007258033,0.09883136184471446,0.015527298607210785,0.008770407650318342,0.03093626328526281,0.0023437500000000003,0.018705863322030593,0.11882377953981389,0.02150758401132961,0.010350013526514604,0.04115784157820478,0.003683035714285714,0.018210816282684027,0.11632472732792645,0.020760048335814758,0.010152562791990073,0.03988014429158703,0.0035156250000000005
25,0,100,oracle,10.0,,all,0.0,False,generated,17.43421721458435,out/runs/25f_seed0_steps100/oracle_s10,0.048719752209562775,0.2023655448596021,0.11096855036102013,0.03213135014042472,0.09362574045510881,0.005859375,0.049748513884666834,0.21218576368510275,0.11058897744575093,0.0326250835832707,0.09484324846604017,0.010156250000000002,0.04961991867527883,0.21095823633191516,0.11063642406015958,0.032563366902914954,0.09469105996467375,0.009619140625000001
25,0,100,oracle,3.0,,all,0.0,False,generated,17.42768168449402,out/runs/25f_seed0_steps100/oracle_s3,0.017473517069542543,0.10662097421420969,0.02915052652808974,0.010787525948952222,0.033878907982061654,0.00078125,0.01760281361711391,0.1086544090962703,0.02981192383433079,0.010912543157321139,0.03401168506694788,0.0015625,0.017586651548667488,0.10840022973601271,0.029729249171050656,0.010896916006275023,0.0339950879313371,0.0014648437500000002
25,0,100,rollout1,0.03,,all,0.0,False,generated,40.923694133758545,out/runs/25f_seed0_steps100/rollout1_s0.03,0.12696600861686835,0.647942008030544,1.2235618184306607,0.054526538980768355,0.413611009492741,0.13242187500000002,0.14117922260594687,0.6957170204884976,1.328763738774121,0.06147381990588461,0.4542020842090236,0.1455357142857143,0.13940257085731206,0.6897451439312535,1.3156134987311883,0.06060540979024508,0.44912819986948826,0.143896484375
25,0,100,rollout1,0.1,,all,0.0,False,generated,40.343717098236084,out/runs/25f_seed0_steps100/rollout1_s0.1,0.12157969891247418,0.6389642866012991,1.2028115862531892,0.050560331787290795,0.40637616781994534,0.11757812500000002,0.12966519999496467,0.665919349058487,1.3084932408444772,0.054044917933805614,0.429412950239715,0.12276785714285714,0.12865451235965336,0.6625499662513388,1.295283034020566,0.05360934466549126,0.42653335243724383,0.122119140625
25,0,100,rollout1,0.3,,all,0.0,False,generated,36.10694193840027,out/runs/25f_seed0_steps100/rollout1_s0.3,0.1083698054917834,0.5868991738761342,1.1671932619217054,0.04377241819164707,0.3710192506349951,0.089453125,0.10755304770293247,0.6018619212493664,1.2719270596268621,0.0428120927550208,0.37904371174097407,0.07968750000000001,0.10765514242653883,0.5999915778277125,1.2588353349137176,0.042932133434599076,0.37804065410272675,0.080908203125
