video,source_video,rollout_h5_error,rollout_h5_p95,rollout_h5_max,observed_frames,frames,video_sha256,simulation_metadata
late-extra-invalid-endpoint-5cases/case-4/guided-final.mp4,00000/871.mp4,1.6897544040798134,5.615002926586748,9.478523778794882,5,49,0afc69d06db58ffde9198c41fc83f4d9d88e85a74f9ef4749d5b10287978618d,data/bounce/eval_49f_5n_0c/00000/871.npz
late-extra-invalid-endpoint-5cases/case-4/vanilla-diffusion.mp4,00000/871.mp4,1.4565934196512722,4.350435889284215,7.087687433075667,5,49,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,data/bounce/eval_49f_5n_0c/00000/871.npz
late-extra-invalid-endpoint-5cases/case-5/guided-final.mp4,00000/066.mp4,1.5461539929737063,4.668037626116738,7.540083957754122,5,49,55afb62a2e9c5aa8e6e30dd17f65dc494bd415254cfae52e288e6c7fe701e1e6,data/bounce/eval_49f_5n_0c/00000/066.npz
late-extra-invalid-endpoint-5cases/case-5/vanilla-diffusion.mp4,00000/066.mp4,1.6777511646473051,4.998754555667025,7.518360910020333,5,49,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,data/bounce/eval_49f_5n_0c/00000/066.npz
late-extra-invalid-full-window-5cases/case-1/guided-final.mp4,00000/164.mp4,1.3116715804681132,3.558893776234306,7.151850504524376,5,49,d541a682b7fb4ddd32325f4aeb4f1726632fe7b35172383ca97def3f5f5f9704,data/bounce/eval_49f_5n_0c/00000/164.npz
late-extra-invalid-full-window-5cases/case-1/vanilla-diffusion.mp4,00000/164.mp4,1.2994590009126972,3.909833703666226,6.01440425958677,5,49,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,data/bounce/eval_49f_5n_0c/00000/164.npz
late-extra-invalid-full-window-5cases/case-2/guided-final.mp4,00000/828.mp4,1.4765924668183856,4.497695598468104,6.92119796253555,5,49,447398eae018db5ff640c77b844938d857518cc8ef3f28a0bb1c4d8e8341f13e,data/bounce/eval_49f_5n_0c/00000/828.npz
late-extra-invalid-full-window-5cases/case-2/vanilla-diffusion.mp4,00000/828.mp4,1.41108825345082,4.085127445044916,7.666154133298876,5,49,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,data/bounce/eval_49f_5n_0c/00000/828.npz
late-extra-invalid-full-window-5cases/case-3/guided-final.mp4,00000/037.mp4,1.3159569997399139,3.704979996553063,6.797276131736919,5,49,b47b3fc2bc0408fde17beef96c8fb78108a3f49e84818a8a4d402b9a81f36f3c,data/bounce/eval_49f_5n_0c/00000/037.npz
late-extra-invalid-full-window-5cases/case-3/vanilla-diffusion.mp4,00000/037.mp4,1.2368238949031716,3.3511859435541504,6.449156611573195,5,49,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,data/bounce/eval_49f_5n_0c/00000/037.npz
late-extra-invalid-full-window-5cases/case-4/guided-final.mp4,00000/871.mp4,1.5464509546450058,6.26792176036749,8.882630718702586,5,49,4aecc105eb91ca26f0c4c6511be3d5eaea4554f897a3899c2bcc6aa01d995f51,data/bounce/eval_49f_5n_0c/00000/871.npz
late-extra-invalid-full-window-5cases/case-4/vanilla-diffusion.mp4,00000/871.mp4,1.4565934196512722,4.350435889284215,7.087687433075667,5,49,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,data/bounce/eval_49f_5n_0c/00000/871.npz
late-extra-invalid-full-window-5cases/case-5/guided-final.mp4,00000/066.mp4,1.619512809072103,4.829448227019674,7.69362127965193,5,49,bde785504b7b6966ee1966402cb39a09241d711bd54db2ef28f06a36f5c0492f,data/bounce/eval_49f_5n_0c/00000/066.npz
late-extra-invalid-full-window-5cases/case-5/vanilla-diffusion.mp4,00000/066.mp4,1.6777511646473051,4.998754555667025,7.518360910020333,5,49,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,data/bounce/eval_49f_5n_0c/00000/066.npz
