method,scale,mean_original_rollout_h5
absolute,0.003,1.026016794882778
absolute,0.01,1.0218391472620476
absolute,0.03,1.0664355561898247
absolute,0.05,1.0860570655196975
absolute,0.1,1.0833694146874506
absolute,0.3,1.701488682143594
delta,0.003,0.9975442961027354
delta,0.01,1.0180688356850525
delta,0.03,1.054806788094217
delta,0.05,1.034061154021692
delta,0.1,1.1360771862751804
delta,0.3,2.106194113653404
