output,original_rollout_h5,original_rollout_h5_p95,original_rollout_h5_max,scorable_pairs
Vanilla,1.41108825345082,4.085127445044916,7.666154133298876,55
Visual balance,1.3099498432245167,3.0332081320359254,6.272774914824719,204
Historical selection,1.450783653207943,4.260546749289075,7.3904449287041665,220
